bigram,n,word1,word2,why,notes
tubercl_bacilli,1,tubercl,bacilli,ignore,
tuberculosi_beij,2,tuberculosi,beij,ignore,most probably
tuberculosi_clinic,1,tuberculosi,clinic,outbreak;hospital,too specific demograhic
tuberculosi_cluster,1,tuberculosi,cluster,cluster,"not sure, rethink"
tuberculosi_complex,1,tuberculosi,complex,ignore,"not sure, rethink could be clinical"
tuberculosi_control,1,tuberculosi,control,control,
tuberculosi_drug,1,tuberculosi,drug,ignore,"pathogen, not useful"
tuberculosi_epidem,1,tuberculosi,epidem,ignore,
tuberculosi_epidemiologi,1,tuberculosi,epidemiologi,ignore,
tuberculosi_genet,1,tuberculosi,genet,ignore,"pathogen, not useful"
tuberculosi_genom,1,tuberculosi,genom,genome,to general
tuberculosi_genotyp,2,tuberculosi,genotyp,genotype,
tuberculosi_incid,1,tuberculosi,incid,ignore,
tuberculosi_infect,2,tuberculosi,infect,ignore,
tuberculosi_isol,2,tuberculosi,isol,ignore,
tuberculosi_lineag,1,tuberculosi,lineag,characterization,"probably drug resistance, but too general"
tuberculosi_mdr,1,tuberculosi,mdr,drug resistance,pathogen
tuberculosi_mtb,1,tuberculosi,mtb,ignore,
tuberculosi_outbreak,1,tuberculosi,outbreak,outbreak,
tuberculosi_patient,1,tuberculosi,patient,ignore,
tuberculosi_popul,1,tuberculosi,popul,ignore,pathogen
tuberculosi_remain,1,tuberculosi,remain,ignore,
tuberculosi_strain,2,tuberculosi,strain,ignore,
tuberculosi_surveil,1,tuberculosi,surveil,surveillance,
tuberculosi_transmiss,1,tuberculosi,transmiss,transmission,
tuberculosi_treatment,1,tuberculosi,treatment,clinical;treatment,
tuberculosi_tuberculosi,1,tuberculosi,tuberculosi,ignore,
type_base,1,type,base,ignore,
type_esbl,2,type,esbl,ignore,
type_iii,3,type,iii,ignore,
type_method,8,type,method,ignore,"probably genotype, but have better terms"
type_mlst,12,type,mlst,genotype,
type_plasmid,2,type,plasmid,ignore,could be interesting for tranmission
type_result,1,type,result,ignore,
type_scheme,3,type,scheme,ignore,
type_specif,1,type,specif,ignore,
type_spoligotyp,1,type,spoligotyp,ignore,
type_st,6,type,st,ignore,
type_tool,1,type,tool,ignore,have more specific terms for strain
typhi_isol,1,typhi,isol,ignore,
typhimurium_infect,2,typhimurium,infect,ignore,
typhimurium_isol,3,typhimurium,isol,ignore,
typhimurium_phage,3,typhimurium,phage,ignore,
typhimurium_strain,3,typhimurium,strain,ignore,
typhoid_fever,1,typhoid,fever,ignore,
typhoid_salmonella,2,typhoid,salmonella,ignore,
ulcer_coliti,1,ulcer,coliti,ignore,"immune response, not sure how to consider this"
uniqu_pattern,1,uniqu,pattern,ignore,
uniqu_recombin,1,uniqu,recombin,ignore,
uniqu_strain,1,uniqu,strain,ignore,
unit_kingdom,1,unit,kingdom,ignore,not sure
unit_miru,1,unit,miru,genotype,
unit_type,1,unit,type,ignore,
unit_variabl,2,unit,variabl,ignore,
univers_hospit,6,univers,hospit,ignore,too broad
unrel_isol,1,unrel,isol,ignore,
untransl_region,4,untransl,region,ignore,
upper_respiratori,1,upper,respiratori,ignore,
uraem_syndrom,1,uraem,syndrom,ignore,
urem_syndrom,1,urem,syndrom,ignore,
urinari_tract,3,urinari,tract,ignore,
uropathogen_escherichia,1,uropathogen,escherichia,ignore,
user_idu,2,user,idu,ignore,phrasing
vaccin_candid,2,vaccin,candid,vaccine,
vaccin_design,1,vaccin,design,vaccine,"cancer, too specific"
vaccin_develop,3,vaccin,develop,ignore,
vaccin_escap,1,vaccin,escap,ignore,
vaccin_strain,1,vaccin,strain,vaccine,
vaccin_vector,1,vaccin,vector,ignore,
vaccin_viru,1,vaccin,viru,ignore,
valentin_leucocidin,1,valentin,leucocidin,drug resistance;mBio,
valentin_leukocidin,1,valentin,leukocidin,drug resistance;mBio,pathogen
vana_gene,1,vana,gene,drug resistance;mBio,just TB
vancomycin_resist,2,vancomycin,resist,drug resistance,
vancomycin_suscept,1,vancomycin,suscept,drug resistance;mBio,
variabl_region,1,variabl,region,ignore,
variant_circul,1,variant,circul,surveillance,"pathogen, not useful"
varicella_zoster,1,varicella,zoster,ignore,possible reservoir
vast_major,1,vast,major,ignore,
vibrio_cholera,2,vibrio,cholera,ignore,too broad
vibrio_parahaemolyticu,2,vibrio,parahaemolyticu,ignore,
vibrio_pathogen,1,vibrio,pathogen,ignore,too broad
vibrio_seventh,1,vibrio,seventh,ignore,
vibrio_vibrio,1,vibrio,vibrio,ignore,
viral_clearanc,1,viral,clearanc,ignore,"not sure, rethink"
viral_diseas,1,viral,diseas,ignore,
viral_divers,2,viral,divers,ignore,too broad
viral_dna,1,viral,dna,ignore,
viral_evolut,1,viral,evolut,ignore,
viral_factor,1,viral,factor,ignore,
viral_gene,3,viral,gene,ignore,
viral_genom,16,viral,genom,genome,
viral_genotyp,2,viral,genotyp,genotype,
viral_hepat,5,viral,hepat,ignore,
viral_infect,7,viral,infect,ignore,
viral_integr,1,viral,integr,ignore,
viral_isol,1,viral,isol,ignore,
viral_load,6,viral,load,clinical;diagnosis,
viral_metagenom,1,viral,metagenom,ignore,
viral_pathogen,1,viral,pathogen,ignore,too broad
viral_polymeras,1,viral,polymeras,ignore,pathogen
viral_popul,2,viral,popul,ignore,
viral_protein,3,viral,protein,ignore,disease
viral_replic,5,viral,replic,ignore,
viral_rna,8,viral,rna,ignore,
viral_sequenc,4,viral,sequenc,ignore,
viral_strain,2,viral,strain,characterization,
viral_subtyp,1,viral,subtyp,characterization,
viral_variant,1,viral,variant,ignore,
virolog_respons,1,virolog,respons,ignore,
viru_aiv,1,viru,aiv,ignore,
viru_caus,1,viru,caus,ignore,
viru_challeng,1,viru,challeng,ignore,
viru_circul,2,viru,circul,surveillance,"pathogen, not useful"
viru_denv,1,viru,denv,ignore,
viru_diseas,1,viru,diseas,ignore,
viru_ebov,1,viru,ebov,ignore,
viru_evolut,1,viru,evolut,ignore,
viru_gene,1,viru,gene,ignore,too broad
viru_genom,6,viru,genom,genome,
viru_genotyp,4,viru,genotyp,genotype,
viru_hav,2,viru,hav,ignore,
viru_hbv,3,viru,hbv,ignore,
viru_hcv,4,viru,hcv,ignore,
viru_hemagglutinin,1,viru,hemagglutinin,ignore,
viru_hev,2,viru,hev,ignore,too broad
viru_hiv,3,viru,hiv,ignore,
viru_host,1,viru,host,ignore,too broad
viru_hpv,1,viru,hpv,ignore,
viru_iav,1,viru,iav,ignore,
viru_induc,1,viru,induc,ignore,"likely a hospital thing, but could be any things"
viru_infect,11,viru,infect,ignore,
viru_influenza,1,viru,influenza,ignore,
viru_isol,9,viru,isol,ignore,
viru_lineag,2,viru,lineag,characterization,"probably drug resistance, but too general"
viru_origin,1,viru,origin,vector,"useful, but phrasing really"
viru_outbreak,2,viru,outbreak,outbreak,
viru_popul,1,viru,popul,ignore,
viru_reassort,1,viru,reassort,ignore,disease
viru_replic,2,viru,replic,ignore,disease
viru_serotyp,1,viru,serotyp,clinical;diagnosis,pathogen
viru_specif,1,viru,specif,ignore,
viru_strain,5,viru,strain,characterization,
viru_subtyp,1,viru,subtyp,ignore,
viru_surveil,1,viru,surveil,surveillance,
viru_transmiss,2,viru,transmiss,transmission,
viru_ttv,2,viru,ttv,ignore,
viru_type,3,viru,type,characterization,
viru_vaccin,1,viru,vaccin,vaccine,
viru_wnv,1,viru,wnv,ignore,
viru_zikv,1,viru,zikv,ignore,
virul_determin,2,virul,determin,ignore,
virul_factor,11,virul,factor,ignore,"molecular biology, but a little too broad"
virul_gene,11,virul,gene,ignore,"molecular biology, but a little too broad"
virul_marker,1,virul,marker,ignore,
virul_plasmid,3,virul,plasmid,mBio,could be interesting for tranmission
virul_profil,1,virul,profil,ignore,
virul_strain,2,virul,strain,characterization,
virus_aiv,1,virus,aiv,ignore,
virus_belong,1,virus,belong,ignore,likely ACME
virus_caus,1,virus,caus,ignore,
virus_circul,1,virus,circul,surveillance,too braod
virus_collect,1,virus,collect,ignore,"immune response, not sure how to consider this"
virus_iav,1,virus,iav,ignore,
virus_includ,1,virus,includ,ignore,
virus_influenza,1,virus,influenza,ignore,
virus_isol,2,virus,isol,ignore,
virus_possess,1,virus,possess,ignore,
virus_replic,1,virus,replic,ignore,
virus_reveal,1,virus,reveal,ignore,
virus_suggest,1,virus,suggest,ignore,
vntr_analysi,4,vntr,analysi,genotype,
vntr_genotyp,1,vntr,genotyp,genotype,
vntr_loci,3,vntr,loci,genotype,too broad
vntr_method,1,vntr,method,ignore,
vntr_pattern,1,vntr,pattern,genotype,
vntr_profil,1,vntr,profil,genotype,
vntr_type,2,vntr,type,characterization;genotype,
vre_isol,1,vre,isol,ignore,
water_suppli,1,water,suppli,ignore,
weight_gain,1,weight,gain,ignore,
west_africa,2,west,africa,ignore,
west_african,1,west,african,ignore,
west_central,1,west,central,ignore,
west_nile,1,west,nile,ignore,
western_blot,1,western,blot,ignore,
wg_data,1,wg,data,ignore,
wide_associ,3,wide,associ,ignore,
wide_rang,1,wide,rang,ignore,but possibly about transmission and outbreak
wild_aquat,1,wild,aquat,ignore,
wild_bird,2,wild,bird,ignore,
wild_boar,1,wild,boar,vector,
wild_type,10,wild,type,ignore,"molecular biology, but a little too broad"
wnv_genom,1,wnv,genom,genome,
wnv_strain,1,wnv,strain,ignore,
world_health,1,world,health,ignore,too broad
worldwid_epidem,1,worldwid,epidem,ignore,
xdr_strain,1,xdr,strain,drug resistance,
yamagata_lineag,1,yamagata,lineag,characterization,"probably drug resistance, but too general"
yellow_fever,1,yellow,fever,ignore,
yersinia_pesti,2,yersinia,pesti,ignore,"might not want to keep this, but useful general term"
yersinia_pseudotuberculosi,1,yersinia,pseudotuberculosi,ignore,
yunnan_provinc,1,yunnan,provinc,ignore,
zika_viru,1,zika,viru,ignore,
zoonot_potenti,1,zoonot,potenti,ignore,
zoster_viru,1,zoster,viru,ignore,
